url,archive,interesting,useful,star,title,category,type,description
http://www.zpub.com/notes/idle.html,,true,,true,In Praise of Idleness — Bertrand Russel,thinking,essay,"A great essay, as relevant to day as when it was written back in 1932. Includes one of my favourite jokes <blockquote>First of all: what is work? Work is of two kinds: first, altering the position of matter at or near the earth's surface relatively to other such matter; second, telling other people to do so.</blockquote>"
https://www.jofreeman.com/joreen/tyranny.htm,,true,,true,The Tyranny of Structurelessness —Jo Freeman,thinking,essay,A powerful argument that invisible structures flourish on organisations without explicit structure. An argument which should ring true for anyone who's ever experienced the politics of a school playground. We've seen plenty of this in the notionally flat organisations of Silicon Valley 
https://www.shutupandsitdown.com,,true,,true,Shut Up and Sit Down,games,blog,The best board game site! Funny and insightful. The podcast is probably my favorite bit.
https://alicebartlett.co.uk,,true,,true,Alice Bartlett,people,homepage,"I had the pleasure to work with Alice at the FT. Her <i>Weaknotes</i> blog is fab, she has a knack for squishing ideas and events into engaging bullet points"
https://geargenerator.com,,,true,true,Gear generator,mechanics,tool,Generate animated interlocking gears and export as SVG or DXF
https://freakytrigger.co.uk,,true,,true,Freaky Trigger,music,blog,"A veritable institution! The core is Tom Ewings magnificent <i>Popular</i> series, a truely epic undertaking; to review each and every UK number one single."
https://css-tricks.com/snippets/css/a-guide-to-flexbox/,,,true,,A Complete Guide to Flexbox,tech,instruction,"I visit this page a lot. Like much of CSS flex box never seems to click for me, I suspect that I just don't use it enough for it to become automatic."
https://www.gamesindustry.biz/articles/2019-08-02-the-flawed-kinder-egg-defence,,true,,,The flawed Kinder Egg defence,games,essay,"""The University of Adelaide's Dr Daniel King on what his ""Unfair Play"" academic study reveals about the industry's monetisation practices"""
https://retours.eu/en/,,true,,true,RETOURS railway history and design,"design,transport",collection,Lovely posts about euro rail design etc.
http://hootpage.com,,true,,,Mike Watt's Homepage,music,homepage,
https://www.mocagh.org/,,true,,true,Museum of Computer Adventuregame History,games,collection,"""we have carefully compiled lists of all pre-1990 computer adventure and RPG games that could be found, as well as adventure and RPG gamebooks from this era. We have collected (thanks eBay!!) as many of these as possible (and still going strong). Here we provide, for your viewing pleasure, the complete collection of games, boxes, books, posters, etc. """
http://www.arthousecrouchend.co.uk,,,true,,Art House Cinema,films,london place,
https://www.bostonglobe.com/2020/07/25/nation/bipartisan-group-secretly-gathered-game-out-contested-trump-biden-election-it-wasnt-pretty/,,true,,,A bipartisan group secretly gathered to game out a contested Trump-Biden election. It wasn’t pretty,"thinking,games",essay,
,https://web.archive.org/web/20180204124039/https://www.politicsresources.net/,,true,,Politics and Government mainly in the UK and the USA,data,collection,This site is now a CEO-spam/linkfarm wordpress blog but the archive linked has good data on US and UK politics
https://dbdiagram.io/home,,,true,,DB Diagram,data,tool,"A free, simple tool to draw entity relationship diagrams by just writing code. Designed for developers and data analysts. "
https://www.everymancinema.com/muswell-hill,,,true,,Muswell Hill Everyman Cinema,films,london place,
https://humanparts.medium.com/how-to-internet-6c379e75c8e0,,true,,,"How to Internet, A guided tour through the past, present, and future of logging on",tech,essay,Remembering what the internet was like when it was new
https://www.childrensbookshoplondon.com,,,true,true,Children's Bookshop - Muswell Hill,"commerce,books",london place,This little bookshop is an absolute gem. Fantastic stock but more importantly extremely knowlegable and helpfull staff.
https://www.jennyodell.com/,,true,,,Jenny Odell,people,homepage,
https://www.tophtucker.com,,true,,,Toph Tucker,people,homepage,
https://www.kickscondor.com,,true,,,Kicks Condor,people,blog,"An inspiration both in terms of <a href=""https://www.kickscondor.com/hypertexting"">general apporach</a> to web making and in particular for this here directory thing which you're raight now browsing."
https://www.stanleystella.com/en-gb/men/t-shirts/,,,true,,Stanley and Stella tshirts,commerce,product,Nice plain tshirts.
https://observatory.db.erau.edu/generators/signs/,,,true,,Safety Sign Generator by Damon ,design,tool,"This is a fancy portal for accessing generators for ERAU Logos, ANSI Z535 compliant Hazard Signs, and Laboratory Door Safety Signs."
https://klim.co.nz/blog/signifier-design-information/,,true,,,Signifier design information,design,essay,A deep dive into the thinking and process behind creating the 'Signifier' typeface. Kris Sowersby is one of the most thoughtful designers I've come across. The fonts he made for the FT are great to work with.
https://thequietus.com/articles/27269-richard-dawson-interview-favourite-music?page=4,,true,,,Dawn To Dusk: Richard Dawson's Favourite Albums ,music,essay,"apart from anything else, notable for the bit where Dawson eulogises late night ITV music show Noisy Mothers ""which I would religiously set the video to record and get up at half six the next day so I could watch it before school. It was absolute agony when you programmed the video wrong, or you forgot to change the clocks when they went forward."""
https://www.foldnfly.com/index.html#/1-1-1-1-1-1-1-1-2,,,true,,Fold 'n' Fly  Paper Airplane Designs,craft,instruction,lots of instructions for how to make different paper aeroplanes
https://thebookofmodding.ml/,,,true,,The Book of Minecraft Modding,tech,instruction,
https://www.newyorker.com/books/novellas/this-is-pleasure,,,,,This Is Pleasure — Mary Gaitskill,fiction,story,
https://americanaffairsjournal.org/2019/05/ubers-path-of-destruction/,,true,,,Uber’s Path of Destruction — Hubert Horan ,"tech,transport",essay,"“Uber, meanwhile, is unique because it is entirely exploitive. It has not created any sustainable offsetting benefits. The private wealth it has created comes entirely at the expense of the rest of society. In this, it at least helps destroy the last illusions that twenty-first-century capitalism is being operated to serve the greater good. Uber always depended on pursuing artificial market power and destroying any constraints on the exercise of that power. It was always explicitly transferring wealth from labor to capital, and from democratically accountable public control to totally unaccountable private control.”"
https://www.scientificamerican.com/article/a-learning-secret-don-t-take-notes-with-a-laptop/,,true,,,A Learning Secret: Don't Take Notes with a Laptop,tech,essay,"“Students who used longhand remembered more and had a deeper understanding of the material … Mueller and Oppenheimer postulate that taking notes by hand requires different types of cognitive processing than taking notes on a laptop, and these different processes have consequences for learning.  Writing by hand is slower and more cumbersome than typing, and students cannot possibly write down every word in a lecture.  Instead, they listen, digest, and summarize so that they can succinctly capture the essence of the information.  Thus, taking notes by hand forces the brain to engage in some heavy “mental lifting,” and these efforts foster comprehension and retention. “"
https://new.wordsmith.org/anagram/anagram.cgi,,,true,,Internet Anagram Server,words,tool,
http://www.cometlist.net/,,true,,,Comet,fiction,directory,the homepage of the fictional company in the TV show Halt and Catch fire
